"year","state","state_ansi","price_overall","price_fresh","price_processing","production_dollars_total","production_cwt_total","production_dollars_fresh","production_dollars_processing","production_cwt_utilized","production_cwt_processing","production_cwt_fresh","production_cwt_fresh_inferred","production_cwt_processing_inferred","production_cwt_total_inferred"
2017,"OREGON","41",110,195,93.5,22048000,200200,6396000,15652000,200200,NA,NA,32800,167401.069518717,200436.363636364
2017,"OTHER STATES",NA,0,143,69.1,0,0,316105000,5449000,0,NA,NA,2210524.47552448,78856.7293777135,NA
2017,"WASHINGTON","53",107,NA,NA,12025000,114000,NA,NA,112900,NA,NA,NA,NA,112383.177570093
2018,"CALIFORNIA","06",90.9,104,42.2,2179066000,2.4e+07,1964352000,214714000,23976000,NA,NA,18888000,5088009.47867298,23972123.2123212
2018,"FLORIDA","12",115,115,0,243800000,2120000,243800000,0,2120000,NA,NA,2120000,NA,2120000
2018,"NEW YORK","36",204,NA,NA,6065000,30000,NA,NA,29800,NA,NA,NA,NA,29730.3921568627
2018,"NORTH CAROLINA","37",171,171,0,22230000,130000,22230000,0,130000,NA,NA,130000,NA,130000
2018,"OREGON","41",107,NA,NA,11687000,110000,NA,NA,109300,NA,NA,NA,NA,109224.299065421
2018,"OTHER STATES",NA,NA,212,88,NA,NA,12324000,15027000,NA,NA,NA,58132.0754716981,170761.363636364,NA
2018,"WASHINGTON","53",107,NA,NA,9599000,90000,NA,NA,89800,NA,NA,NA,NA,89710.2803738318
2019,"CALIFORNIA","06",110,NA,NA,2342148000,21300000,NA,NA,21278700,NA,NA,NA,NA,21292254.5454545
2019,"FLORIDA","12",152,NA,NA,407813000,2680000,NA,NA,2680000,NA,NA,NA,NA,2682980.26315789
2019,"OTHER STATES",NA,NA,130,52.8,NA,NA,2501482000,248479000,NA,NA,NA,19242169.2307692,4706041.66666667,NA
2020,"CALIFORNIA","06",93.1,NA,NA,2267175000,24400000,NA,NA,24351200,NA,NA,NA,NA,24352040.8163265
2020,"FLORIDA","12",139,NA,NA,324584000,2340000,NA,NA,2333000,NA,NA,NA,NA,2335136.69064748
2020,"OTHER STATES",NA,0,111,38.1,0,0,2404152000,187607000,0,NA,NA,21659027.027027,4924068.24146982,NA
2021,"CALIFORNIA","06",125,NA,NA,3132279000,25100000,NA,NA,25024700,NA,NA,NA,NA,25058232
2021,"FLORIDA","12",160,NA,NA,451681000,2830000,NA,NA,2830000,NA,NA,NA,NA,2823006.25
